"IntIndex";"Char";"Description";"KeyList";"VKEYList"
"0";"NUL";"Null character";"0x";"
"1";"SOH";"Start of Heading";"0x";"
"2";"STX";"Start of Text";"0x";"
"3";"ETX";"End of Text";"0x";"
"4";"EOT";"End of Transmission";"0x";"
"5";"ENQ";"Enquiry";"0x";"
"6";"ACK";"Acknowledge";"0x";"
"7";"BEL";"Bell, Alert";"0x";"

"8";"BS";"Backspace";"0x08";"BACK"
"9";"HT";"Horizontal Tab";"0x09";"TAB"
"10";"LF";"Line Feed";"0x0D";"RETURN"
"11";"VT";"Vertical Tabulation";"0x09";"TAB"
"12";"FF";"Form Feed";"0x0D";"RETURN"
"13";"CR";"Carriage Return";"0x0D";"RETURN"
"14";"SO";"Shift Out";"0x10";"
"15";"SI";"Shift In";"0x10";"

"27";"ESC";"Escape";"0x1B";"ESCAPE"

"32";"SP";"Space";"0x20";"SPACE"
"33";"!";"Exclamation mark";"0x10,0x31";"LSHIFT,VK_1"
"34";"""";"Double quotes (or speech marks)";"0x10,0x32";"LSHIFT,VK_2
"35";"#";"Number sign";"0x10,0x33";"LSHIFT,VK_3"
"36";"$";"Dollar";"0xA5,0x34";"LSHIFT,VK_4"
"37";"%";"Per cent sign";"0x10,0x35";"LSHIFT,VK_5"
"38";"&";"Ampersand";"0x10,0x36";"LSHIFT,VK_6"
"39";"'";"Single quote";"0xBF";"OEM_2"
"40";"(";"Open parenthesis (or open bracket)";"0x10,0x38";"LSHIFT,VK_8"
"41";")";"Close parenthesis (or close bracket)";"0x10,0x39";"LSHIFT,VK_9"
"42";"*";"Asterisk";"0x6A";"MULTIPLY"
"43";"+";"Plus";"0x6B";"OEM_PLUS"
"44";",";"Comma";"0xBC";"OEM_COMMA"
"45";"-";"Hyphen-minus";"0x6D";"OEM_MINUS"
"46";".";"Period, dot or full stop";"0x";"OEM_PERIOD"
"47";"/";"Slash or divide";"0x";"DIVIDE"
"48";"0";"Zero";"0x30";"VK_0"
"49";"1";"One";"0x31";"VK_1"
"50";"2";"Two";"0x32";"VK_2"
"51";"3";"Three";"0x33";"VK_3"
"52";"4";"Four";"0x34";"VK_4"
"53";"5";"Five";"0x35";"VK_5"
"54";"6";"Six";"0x36";"VK_6"
"55";"7";"Seven";"0x37";"VK_7"
"56";"8";"Eight";"0x38";"VK_8"
"57";"9";"Nine";"0x39";"VK_9"
"58";":";"Colon";"0x";"LSHIFT,OEM_PERIOD"
"59";";";"Semicolon";"0x";"LSHIFT,OEM_COMMA"
"60";"<";"Less than (or open angled bracket)";"0xE2";"OEM_102"
"61";"=";"Equals";"0x";"LSHIFT,VK_0"
"62";">";"Greater than (or close angled bracket)";"0x";"LSHIFT,OEM_102"
"63";"?";"Question mark";"0x";"LSHIFT,OEM_PLUS"
"64";"@";"At sign";"0x";"RMENU,VK_2"
